university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count
Johannes Kepler University Linz,2017,551-600,,https://www.topuniversities.com/universities/johannes-kepler-university-linz,Austria,Linz,Europe,https://www.topuniversities.com/sites/default/files/johannes-kepler-university-linz_349_small.jpg,Public,Very High,6.0,774,M,897
Kagoshima University,2017,551-600,,https://www.topuniversities.com/universities/kagoshima-university,Japan,Kagoshima City,Asia,https://www.topuniversities.com/sites/default/files/kagoshima-university_592560cf2aeae70239af4bb6_small.jpg,Public,High,8.0,343,M,1.331
Kanazawa University,2017,551-600,,https://www.topuniversities.com/universities/kanazawa-university,Japan,Kanazawa,Asia,https://www.topuniversities.com/sites/default/files/kanazawa-university_592560cf2aeae70239af4bb7_small.jpg,Public,Very High,8.0,567,M,1.239
Keele University ,2017,551-600,,https://www.topuniversities.com/universities/keele-university,United Kingdom,Keele,Europe,https://www.topuniversities.com/sites/default/files/keele-university-_592560cf2aeae70239af50e5_small.jpg,Public,Very High,13.0,1.392,M,707
Kumamoto University,2017,551-600,,https://www.topuniversities.com/universities/kumamoto-university,Japan,Kumamoto City,Asia,https://www.topuniversities.com/sites/default/files/kumamoto-university_326_small.jpg,Public,Very High,8.0,359,M,1.267
Lanzhou University,2017,551-600,,https://www.topuniversities.com/universities/lanzhou-university,China (Mainland),Lanzhou,Asia,https://www.topuniversities.com/sites/default/files/lanzhou-university_592560cf2aeae70239af4df2_small.jpg,Public,Very High,11.0,391,XL,2.944
National Research Saratov State University,2017,551-600,,https://www.topuniversities.com/universities/national-research-saratov-state-university,Russia,Saratov,Europe,https://www.topuniversities.com/sites/default/files/national-research-saratov-state-university_1498_small.jpg,Public,Very High,6.0,1.109,M,1.718
National Taipei University of Technology,2017,551-600,,https://www.topuniversities.com/universities/national-taipei-university-technology,Taiwan,Taipei City,Asia,https://www.topuniversities.com/sites/default/files/national-taipei-university-of-technology_1993_small.jpg,Public,Very High,11.0,1.040,M,714
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",2017,551-600,,https://www.topuniversities.com/universities/national-technical-university-ukraine-igor-sikorsky-kyiv-polytechnic-institute,Ukraine,Kyiv,Europe,https://www.topuniversities.com/sites/default/files/national-technical-university-of-ukraine-igor-sikorsky-kyiv-polytechnic-institute_592560cf2aeae70239af55b9_small.jpg,Public,Very High,,590,L,"2,500"
Philipps-Universität Marburg ,2017,551-600,,https://www.topuniversities.com/universities/philipps-universitat-marburg,Germany,Marburg,Europe,https://www.topuniversities.com/sites/default/files/philipps-universitt-marburg_392_small.jpg,Public,High,21.0,3.133,L,1.115
Universidad Politécnica de Madrid (UPM),2017,551-600,,https://www.topuniversities.com/universities/universidad-politecnica-de-madrid,Spain,Madrid,Europe,https://www.topuniversities.com/sites/default/files/politcnica-de-madrid_1507_small.jpg,Public,Very High,13.0,5.319,XL,2.486
Rhodes University ,2017,551-600,,https://www.topuniversities.com/universities/rhodes-university,South Africa,Grahamstown,Africa,https://www.topuniversities.com/sites/default/files/rhodes-university-_592560cf2aeae70239af4f44_small.jpg,Public,Very High,13.0,1.104,M,504
Sichuan University,2017,551-600,,https://www.topuniversities.com/universities/sichuan-university,China (Mainland),Chengdu,Asia,https://www.topuniversities.com/sites/default/files/sichuan-university_885_small.jpg,Public,Very High,16.0,2.714,XL,3.173
South China University of Technology,2017,551-600,,https://www.topuniversities.com/universities/south-china-university-technology,China (Mainland),Guangzhou,Asia,https://www.topuniversities.com/sites/default/files/south-china-university-of-technology_887_small.jpg,Public,Very High,14.0,1.688,XL,3.006
Southern Federal University,2017,551-600,,https://www.topuniversities.com/universities/southern-federal-university,Russia,Rostov-on-Don,Europe,https://www.topuniversities.com/sites/default/files/southern-federal-university_592560cf2aeae70239af5301_small.jpg,Public,Very High,7.0,2.905,L,2.631
Syracuse University,2017,551-600,,https://www.topuniversities.com/universities/syracuse-university,United States,Syracuse,North America,https://www.topuniversities.com/sites/default/files/syracuse-university_812_small.jpg,Private,Very High,14.0,3.571,L,1.374
TU Dortmund University,2017,551-600,,https://www.topuniversities.com/universities/tu-dortmund-university,Germany,Dortmund,Europe,https://www.topuniversities.com/sites/default/files/tu-dortmund-university_592560cf2aeae70239af4b24_small.jpg,Public,Very High,11.0,2.405,L,2.137
Tokyo University of Agriculture and Technology ,2017,551-600,,https://www.topuniversities.com/universities/tokyo-university-agriculture-technology,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/tokyo-university-of-agriculture-and-technology_1030_small.jpg,Public,Very High,15.0,335,M,388
Università degli Studi di Pavia,2017,551-600,,https://www.topuniversities.com/universities/universita-degli-studi-di-pavia,Italy,Pavia,Europe,https://www.topuniversities.com/sites/default/files/universit-degli-studi-di-pavia_592560cf2aeae70239af4c70_small.jpg,Public,Very High,17.0,1.751,L,981
University of Bradford,2017,551-600,,https://www.topuniversities.com/universities/university-bradford,United Kingdom,Bradford,Europe,https://www.topuniversities.com/sites/default/files/university-of-bradford_592560cf2aeae70239af4ac5_small.jpg,Public,Very High,17.0,2.270,M,500
University of Canberra ,2017,551-600,,https://www.topuniversities.com/universities/university-canberra,Australia,Bruce,Oceania,https://www.topuniversities.com/sites/default/files/university-of-canberra_844_small.jpg,Public,Very High,27.0,3.132,M,395
University of Cincinnati,2017,551-600,,https://www.topuniversities.com/universities/university-cincinnati,United States,Cincinnati,North America,https://www.topuniversities.com/sites/default/files/university-of-cincinnati_129_small.jpg,Public,Very High,11.0,2.800,XL,2.756
University of Hull,2017,551-600,,https://www.topuniversities.com/universities/university-hull,United Kingdom,Hull,Europe,https://www.topuniversities.com/sites/default/files/university-of-hull_592560cf2aeae70239af4b93_small.jpg,Public,High,13.0,2.412,L,996
University of Jordan,2017,551-600,,https://www.topuniversities.com/universities/university-jordan,Jordan,Amman,Asia,https://www.topuniversities.com/sites/default/files/university-of-jordan_592560cf2aeae70239af533b_small.jpg,Public,High,14.0,4.851,XL,2.190
University of Massachusetts Boston,2017,551-600,,https://www.topuniversities.com/universities/university-massachusetts-boston,United States,Boston,North America,https://www.topuniversities.com/sites/default/files/university-of-massachusetts-boston_592560cf2aeae70239af566b_small.jpg,Public,Very High,15.0,1.527,L,838
"University of Missouri, Columbia",2017,551-600,,https://www.topuniversities.com/universities/university-missouri-columbia,United States,Columbia,North America,https://www.topuniversities.com/sites/default/files/university-of-missouri-columbia_409_small.jpg,Public,Very High,10.0,1.273,L,2.600
University of Oregon,2017,551-600,,https://www.topuniversities.com/universities/university-oregon,United States,Eugene,North America,https://www.topuniversities.com/sites/default/files/university-of-oregon_592560cf2aeae70239af4c58_small.jpg,Public,Very High,13.0,1.740,L,1.583
University of Science and Technology Beijing,2017,551-600,,https://www.topuniversities.com/universities/university-science-technology-beijing,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/university-of-science-and-technology-beijing_2004_small.jpg,Public,Very High,15.0,818,L,1.605
University of South Carolina,2017,551-600,,https://www.topuniversities.com/universities/university-south-carolina,United States,Columbia,North America,https://www.topuniversities.com/sites/default/files/university-of-south-carolina_539_small.jpg,Public,Very High,15.0,1.532,XL,2.169
University of Tehran,2017,551-600,,https://www.topuniversities.com/universities/university-tehran,"Iran, Islamic Republic of",Tehran,Asia,https://www.topuniversities.com/sites/default/files/university-of-tehran_699_small.jpg,Public,Very High,21.0,787,XL,2.118
University of Ulsan ,2017,551-600,,https://www.topuniversities.com/universities/university-ulsan,South Korea,Ulsan,Asia,https://www.topuniversities.com/sites/default/files/university-of-ulsan_1111_small.jpg,Private,Very High,8.0,571,L,1.576
University of Vermont,2017,551-600,,https://www.topuniversities.com/universities/university-vermont,United States,Burlington,North America,https://www.topuniversities.com/sites/default/files/university-of-vermont_808_small.jpg,Public,High,8.0,546,L,1.485
 Western Sydney University,2017,551-600,,https://www.topuniversities.com/universities/western-sydney-university,Australia,Milperra,Oceania,https://www.topuniversities.com/sites/default/files/western-sydney-university_848_small.jpg,Public,High,22.0,7.123,XL,1.620
Universidad de Antioquia,2017,601-650,,https://www.topuniversities.com/universities/universidad-de-antioquia,Colombia,Medellin,Latin America,https://www.topuniversities.com/sites/default/files/universidad-de-antioquia_592560cf2aeae70239af5149_small.jpg,Public,High,22.0,212,XL,1.747
Universidad Nacional de Córdoba - UNC,2017,601-650,,https://www.topuniversities.com/universities/universidad-nacional-de-cordoba-unc,Argentina,Córdoba,Latin America,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-crdoba-unc_592560cf2aeae70239af511e_small.jpg,Public,Very High,18.0,1.846,XL,6.442
Universidad de Sevilla,2017,601-650,,https://www.topuniversities.com/universities/universidad-de-sevilla,Spain,Seville,Europe,https://www.topuniversities.com/sites/default/files/universidad-de-sevilla_554_small.jpg,Public,Very High,13.0,5.462,XL,3.704
Universidad Católica Andres Bello,2017,601-650,,https://www.topuniversities.com/universities/universidad-catolica-andres-bello,Venezuela,Guayana City,Latin America,https://www.topuniversities.com/sites/default/files/universidad-catlica-andres-bello_592560cf2aeae70239af4a98_small.jpg,Private,Low,28.0,204,L,714
Pontificia Universidad Católica de Valparaíso,2017,601-650,,https://www.topuniversities.com/universities/pontificia-universidad-catolica-de-valparaiso,Chile,Valparaíso,Latin America,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-valparaso_733_small.jpg,Private,High,20.0,174,L,857
Universidade de Brasília,2017,601-650,,https://www.topuniversities.com/universities/universidade-de-brasilia,Brazil,Brasília,Latin America,https://www.topuniversities.com/sites/default/files/universidade-de-braslia_1726_small.jpg,Public,High,15.0,1.262,XL,3.049
Universidad de Concepción,2017,601-650,,https://www.topuniversities.com/universities/universidad-de-concepcion,Chile,Concepción,Latin America,https://www.topuniversities.com/sites/default/files/universidad-de-concepcin_1700_small.jpg,Private,High,16.0,554,L,1.633
Thammasat University,2017,601-650,,https://www.topuniversities.com/universities/thammasat-university,Thailand,Bangkok,Asia,https://www.topuniversities.com/sites/default/files/thammasat-university_592560cf2aeae70239af4ce1_small.jpg,Public,High,12.0,422,L,2.460
Bielefeld University,2017,601-650,,https://www.topuniversities.com/universities/bielefeld-university,Germany,Bielefeld,Europe,https://www.topuniversities.com/sites/default/files/universitt-bielefeld_57_small.jpg,Public,Very High,17.0,1.817,L,1.501
Ajou University ,2017,601-650,,https://www.topuniversities.com/universities/ajou-university,South Korea,Suwon,Asia,https://www.topuniversities.com/sites/default/files/ajou-university_1034_small.jpg,Private,Very High,7.0,1.001,M,1.333
Bar-Ilan University,2017,601-650,,https://www.topuniversities.com/universities/bar-ilan-university,Israel,Ramat Gan,Asia,https://www.topuniversities.com/sites/default/files/bar-ilan-university_997_small.jpg,Public,Very High,18.0,990,L,923
Central Queensland University (CQUniversity Australia),2017,601-650,,https://www.topuniversities.com/universities/central-queensland-university-cquniversity-australia,Australia,Norman Gardens,Oceania,https://www.topuniversities.com/sites/default/files/central-queensland-university-_592560cf2aeae70239af4dca_small.jpg,Public,Very High,13.0,3.884,M,753
Chonnam National University,2017,601-650,,https://www.topuniversities.com/universities/chonnam-national-university,South Korea,Gwangju,Asia,https://www.topuniversities.com/sites/default/files/chonnam-national-university_125_small.jpg,Public,Very High,9.0,1.609,L,2.342
Clarkson University,2017,601-650,,https://www.topuniversities.com/universities/clarkson-university,United States,Potsdam,North America,https://www.topuniversities.com/sites/default/files/clarkson-university_592560cf2aeae70239af5181_small.jpg,Private,Very High,14.0,384,S,291
Eötvös Loránd University,2017,601-650,,https://www.topuniversities.com/universities/eotvos-lorand-university,Hungary,Budapest,Europe,https://www.topuniversities.com/sites/default/files/etvs-lornd-university_366_small.jpg,Public,Very High,12.0,3.517,L,2.302
Hallym University ,2017,601-650,,https://www.topuniversities.com/universities/hallym-university,South Korea,Chuncheon,Asia,https://www.topuniversities.com/sites/default/files/hallym-university_1053_small.jpg,Private,Very High,6.0,431,M,1.279
Instituto Tecnológico Autónomo de México (ITAM),2017,601-650,,https://www.topuniversities.com/universities/instituto-tecnologico-autonomo-de-mexico-itam,Mexico,Mexico City,Latin America,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-autnomo-de-mxico-itam_592560cf2aeae70239af4da6_small.jpg,Private,High,14.0,65,M,416
International Islamic University Malaysia (IIUM),2017,601-650,,https://www.topuniversities.com/universities/international-islamic-university-malaysia-iium,Malaysia,Kuala Lumpur,Asia,https://www.topuniversities.com/sites/default/files/international-islamic-university-malaysia-iium_717_small.jpg,Public,High,14.0,6.159,L,1.904
"Lingnan University, Hong Kong",2017,601-650,,https://www.topuniversities.com/universities/lingnan-university-hong-kong,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/lingnan-university-hong-kong_894_small.jpg,Public,Very High,12.0,983,S,274
Auezov South Kazakhstan University (SKU),2017,601-650,,https://www.topuniversities.com/universities/auezov-south-kazakhstan-university-sku,Kazakhstan,Shymkent,Asia,https://www.topuniversities.com/sites/default/files/auezov-south-kazakhstan-state-university-sksu_592560cf2aeae70239af52eb_small.jpg,Public,Medium,6.0,2.220,L,2.902
Masaryk University,2017,601-650,,https://www.topuniversities.com/universities/masaryk-university,Czech Republic,Brno,Europe,https://www.topuniversities.com/sites/default/files/masaryk-university_592560cf2aeae70239af4d5a_small.jpg,Public,Very High,15.0,7.300,L,1.892
Middlesex University,2017,601-650,,https://www.topuniversities.com/universities/middlesex-university,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/middlesex-university_592560cf2aeae70239af4c19_small.jpg,Public,High,17.0,8.159,L,943
The National University of Science and Technology MISIS,2017,601-650,,https://www.topuniversities.com/universities/national-university-science-technology-misis,Russia,Moscow,Europe,https://www.topuniversities.com/sites/default/files/the-national-university-of-science-and-technology-misis_14956_small.jpg,Public,Very High,8.0,1.605,M,915
The New School,2017,601-650,,https://www.topuniversities.com/universities/new-school,United States,New York,North America,https://www.topuniversities.com/sites/default/files/the-new-school_1814_small.jpg,Private,Very High,9.0,3.599,M,1.087
RUDN University,2017,601-650,,https://www.topuniversities.com/universities/rudn-university,Russia,Moscow,Europe,https://www.topuniversities.com/sites/default/files/rudn-university_1503_small.jpg,Public,High,6.0,"8,319",L,"3,890"
Tallinn University of Technology (TalTech),2017,601-650,,https://www.topuniversities.com/universities/tallinn-university-technology-taltech,Estonia,Tallinn,Europe,https://www.topuniversities.com/sites/default/files/tallinn-university-of-technology-taltech_592560cf2aeae70239af4cd3_small.jpg,Public,Very High,12.0,1.290,M,699
Universidad de Alcalá,2017,601-650,,https://www.topuniversities.com/universities/universidad-de-alcala,Spain,Alcalá de Henares,Europe,https://www.topuniversities.com/sites/default/files/universidad-de-alcal_1511_small.jpg,Public,High,7.0,4.560,L,2.694
Universidad de Montevideo (UM),2017,601-650,,https://www.topuniversities.com/universities/universidad-de-montevideo-um,Uruguay,Montevideo,Latin America,https://www.topuniversities.com/sites/default/files/universidad-de-montevideo-um_695_small.jpg,Private,Low,7.0,76,S,295
Universidad Torcuato Di Tella,2017,601-650,,https://www.topuniversities.com/universities/universidad-torcuato-di-tella,Argentina,Buenos Aires,Latin America,https://www.topuniversities.com/sites/default/files/universidad-torcuato-di-tella_592560cf2aeae70239af4ced_small.jpg,Private,High,13.0,459,S,187
Universität Duisburg-Essen,2017,601-650,,https://www.topuniversities.com/universities/universitat-duisburg-essen,Germany,Duisburg,Europe,https://www.topuniversities.com/sites/default/files/universitt-duisburg-essen_199_small.jpg,Public,Very High,12.0,"7,880",XL,"3,498"
University Duesseldorf,2017,601-650,,https://www.topuniversities.com/universities/university-duesseldorf,Germany,Düsseldorf,Europe,https://www.topuniversities.com/sites/default/files/university-duesseldorf_171_small.jpg,Public,High,9.0,3.888,XL,3.854
Université de Rennes 1,2017,601-650,,https://www.topuniversities.com/universities/universite-de-rennes-1,France,Rennes,Europe,https://www.topuniversities.com/sites/default/files/universit-de-rennes-1_592560cf2aeae70239af4c8c_small.jpg,Public,Very High,15.0,"2,480",L,"1,765"
Université de Sherbrooke,2017,601-650,,https://www.topuniversities.com/universities/universite-de-sherbrooke,Canada,Sherbrooke,North America,https://www.topuniversities.com/sites/default/files/universit-de-sherbrooke_592560cf2aeae70239af5161_small.jpg,Public,High,12.0,1.115,L,1.168
Université Nice Sophia Antipolis,2017,601-650,,https://www.topuniversities.com/universities/universite-nice-sophia-antipolis,France,Nice,Europe,https://www.topuniversities.com/sites/default/files/universit-nice-sophia-antipolis_592560cf2aeae70239af4f9d_small.jpg,Public,High,23.0,"6,010",L,"1,320"
University Paris 2 Panthéon-Assas,2017,601-650,,https://www.topuniversities.com/universities/university-paris-2-pantheon-assas,France,,Europe,https://www.topuniversities.com/sites/default/files/universit-panthon-assas-paris-2_592560cf2aeae70239af4c66_small.jpg,Public,Very High,9.0,,L,2.060
Universiti Teknologi PETRONAS (UTP),2017,601-650,,https://www.topuniversities.com/universities/universiti-teknologi-petronas-utp,Malaysia,Seri Iskandar,Asia,https://www.topuniversities.com/sites/default/files/universiti-teknologi-petronas-utp_592560cf2aeae70239af4ef2_small.jpg,Private,Very High,11.0,639,M,438
The University of Alabama,2017,601-650,,https://www.topuniversities.com/universities/university-alabama,United States,Tuscaloosa,North America,https://www.topuniversities.com/sites/default/files/university-of-alabama_592560cf2aeae70239af4a91_small.jpg,Public,Very High,20.0,1.283,XL,1.694
University of Baghdad,2017,601-650,,https://www.topuniversities.com/universities/university-baghdad,Iraq,Baghdad,Asia,https://www.topuniversities.com/sites/default/files/university-of-baghdad_592560cf2aeae70239af5456_small.jpg,Public,High,10.0,96,XL,6.696
University of Houston,2017,601-650,,https://www.topuniversities.com/universities/university-houston,United States,Houston,North America,https://www.topuniversities.com/sites/default/files/university-of-houston_270_small.jpg,Public,Very High,22.0,3.049,XL,1.702
University of Johannesburg,2017,601-650,,https://www.topuniversities.com/universities/university-johannesburg,South Africa,Johannesburg,Africa,https://www.topuniversities.com/sites/default/files/university-of-johannesburg-_592560cf2aeae70239af4f46_small.jpg,Public,Very High,10.0,4.016,L,1.886
University of Ljubljana,2017,601-650,,https://www.topuniversities.com/universities/university-ljubljana,Slovenia,Ljubljana,Europe,https://www.topuniversities.com/sites/default/files/university-of-ljubljana_351_small.jpg,Public,Very High,10.0,2.702,XL,3.981
University of Mississippi,2017,601-650,,https://www.topuniversities.com/universities/university-mississippi,United States,Oxford,North America,https://www.topuniversities.com/sites/default/files/university-of-mississippi_592560cf2aeae70239af536f_small.jpg,Public,Very High,10.0,628,L,2.017
University of New Hampshire,2017,601-650,,https://www.topuniversities.com/universities/university-new-hampshire,United States,Durham,North America,https://www.topuniversities.com/sites/default/files/university-of-new-hampshire_592560cf2aeae70239af51c1_small.jpg,Public,Very High,17.0,768,L,862
University of Portsmouth,2017,601-650,,https://www.topuniversities.com/universities/university-portsmouth,United Kingdom,Portsmouth,Europe,https://www.topuniversities.com/sites/default/files/university-of-portsmouth_592560cf2aeae70239af4c7d_small.jpg,Public,Very High,16.0,5.827,L,1.359
University of Seoul ,2017,601-650,,https://www.topuniversities.com/universities/university-seoul,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/university-of-seoul_1113_small.jpg,Public,Very High,11.0,528,M,787
Ulster University,2017,601-650,,https://www.topuniversities.com/universities/ulster-university,United Kingdom,Coleraine,Europe,https://www.topuniversities.com/sites/default/files/ulster-university_1641_small.jpg,Public,Very High,13.0,1.845,L,1.152
Ural Federal University - UrFU,2017,601-650,,https://www.topuniversities.com/universities/ural-federal-university-urfu,Russia,Ekaterinburg,Europe,https://www.topuniversities.com/sites/default/files/ural-federal-university-urfu_592560cf2aeae70239af505a_small.jpg,Public,Very High,6.0,5.089,L,5.009
Warsaw University of Technology,2017,601-650,,https://www.topuniversities.com/universities/warsaw-university-technology,Poland,Warsaw,Europe,https://www.topuniversities.com/sites/default/files/warsaw-university-of-technology_592560cf2aeae70239af4d1a_small.jpg,Public,Very High,9.0,1.839,L,2.306
Worcester Polytechnic Institute,2017,601-650,,https://www.topuniversities.com/universities/worcester-polytechnic-institute,United States,Worcester,North America,https://www.topuniversities.com/sites/default/files/worcester-polytechnic-institute_592560cf2aeae70239af4dc0_small.jpg,Private,Very High,14.0,837,M,432
Al Imam Mohammad Ibn Saud Islamic University,2017,651-700,,https://www.topuniversities.com/universities/al-imam-mohammad-ibn-saud-islamic-university,Saudi Arabia,Riyadh,Asia,https://www.topuniversities.com/sites/default/files/al-imam-mohammad-ibn-saud-islamic-university_592560cf2aeae70239af4f14_small.jpg,Public,High,15.0,"6,038",XL,"4,441"
Beijing University of Technology,2017,651-700,,https://www.topuniversities.com/universities/beijing-university-technology,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/beijing-university-of-technology_2012_small.jpg,Public,Very High,10.0,785,L,2.411
Brigham Young University,2017,651-700,,https://www.topuniversities.com/universities/brigham-young-university,United States,Provo,North America,https://www.topuniversities.com/sites/default/files/brigham-young-university_68_small.jpg,Private,Very High,21.0,"1,163",XL,"1,512"
Brno University of Technology,2017,651-700,,https://www.topuniversities.com/universities/brno-university-technology,Czech Republic,Brno,Europe,https://www.topuniversities.com/sites/default/files/brno-university-of-technology_592560cf2aeae70239af4aca_small.jpg,Public,Very High,13.0,4.562,L,1.464
Comenius University in Bratislava,2017,651-700,,https://www.topuniversities.com/universities/comenius-university-bratislava,Slovakia,Bratislava,Europe,https://www.topuniversities.com/sites/default/files/comenius-university-in-bratislava_592560cf2aeae70239af5370_small.jpg,Public,Very High,9.0,2.891,L,2.393
Coventry University,2017,651-700,,https://www.topuniversities.com/universities/coventry-university,United Kingdom,Coventry,Europe,https://www.topuniversities.com/sites/default/files/coventry-university_592560cf2aeae70239af4b16_small.jpg,Public,High,14.0,15.552,XL,2.304
Technological University Dublin,2017,651-700,,https://www.topuniversities.com/universities/technological-university-dublin,Ireland,Dublin,Europe,https://www.topuniversities.com/sites/default/files/technological-university-of-dublin_592560cf2aeae70239af4b28_small.jpg,Public,High,15.0,4.118,L,1.445
George Mason University,2017,651-700,,https://www.topuniversities.com/universities/george-mason-university,United States,Fairfax,North America,https://www.topuniversities.com/sites/default/files/george-mason-university_592560cf2aeae70239af518c_small.jpg,Public,Very High,15.0,2.737,L,2.011
Gifu University,2017,651-700,,https://www.topuniversities.com/universities/gifu-university,Japan,Gifu City,Asia,https://www.topuniversities.com/sites/default/files/gifu-university_592560cf2aeae70239af4b69_small.jpg,Public,Very High,7.0,290,M,1.003
Istanbul Technical University,2017,651-700,,https://www.topuniversities.com/universities/istanbul-technical-university,Turkey,Maslak-Istanbul,Asia,https://www.topuniversities.com/sites/default/files/istanbul-technical-university_296_small.jpg,Public,Very High,13.0,3.196,L,1.800
Jordan University of Science & Technology,2017,651-700,,https://www.topuniversities.com/universities/jordan-university-science-technology,Jordan,Irbid,Asia,https://www.topuniversities.com/sites/default/files/jordan-university-of-science-technology_592560cf2aeae70239af545b_small.jpg,Public,High,15.0,2.903,L,1.561
Justus-Liebig-University Giessen,2017,651-700,,https://www.topuniversities.com/universities/justus-liebig-university-giessen,Germany,Giessen,Europe,https://www.topuniversities.com/sites/default/files/justus-liebig-university-giessen_592560cf2aeae70239af4b68_small.jpg,Public,High,44.0,2.291,L,611
Kazakh-British Technical University,2017,651-700,,https://www.topuniversities.com/universities/kazakh-british-technical-university,Kazakhstan,Almaty,Asia,https://www.topuniversities.com/sites/default/files/kazakh-british-technical-university_592560cf2aeae70239af55d2_small.jpg,Public,High,12.0,79,S,266
Kyungpook National University,2017,651-700,,https://www.topuniversities.com/universities/kyungpook-national-university,South Korea,Daegu,Asia,https://www.topuniversities.com/sites/default/files/kyungpook-national-university_592560cf2aeae70239af4bd0_small.jpg,Public,Very High,8.0,1.712,L,2.711
Lebanese American University,2017,651-700,,https://www.topuniversities.com/universities/lebanese-american-university,Lebanon,Byblos,Asia,https://www.topuniversities.com/sites/default/files/lebanese-american-university_592560cf2aeae70239af4eed_small.jpg,Private,Medium,11.0,1.516,M,692
London Metropolitan University,2017,651-700,,https://www.topuniversities.com/universities/london-metropolitan-university,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/london-metropolitan-university_358_small.jpg,Public,High,19.0,3.625,M,442
Louisiana State University,2017,651-700,,https://www.topuniversities.com/universities/louisiana-state-university,United States,Baton Rouge,North America,https://www.topuniversities.com/sites/default/files/louisiana-state-university_369_small.jpg,Public,Very High,21.0,1.315,XL,1.490
Maynooth University,2017,651-700,,https://www.topuniversities.com/universities/maynooth-university,Ireland,Maynooth,Europe,https://www.topuniversities.com/sites/default/files/maynooth-university_766_small.jpg,Public,Very High,16.0,1.335,M,686
Memorial University of Newfoundland,2017,651-700,,https://www.topuniversities.com/universities/memorial-university-newfoundland,Canada,St. John's,North America,https://www.topuniversities.com/sites/default/files/memorial-university-of-newfoundland_1760_small.jpg,Public,High,15.0,3.400,L,1.089
National and Kapodistrian University of Athens,2017,651-700,,https://www.topuniversities.com/universities/national-kapodistrian-university-athens,Greece,Athens,Europe,https://www.topuniversities.com/sites/default/files/national-and-kapodistrian-university-of-athens_33_small.jpg,Public,Very High,31.0,6.228,XL,2.164
Osaka City University,2017,651-700,,https://www.topuniversities.com/universities/osaka-city-university,Japan,Osaka City,Asia,https://www.topuniversities.com/sites/default/files/osaka-city-university_592560cf2aeae70239af4c5b_small.jpg,Public,Very High,8.0,335,M,1.094
Osaka Prefecture University ,2017,651-700,,https://www.topuniversities.com/universities/osaka-prefecture-university,Japan,Osaka City,Asia,https://www.topuniversities.com/sites/default/files/osaka-prefecture-university-_592560cf2aeae70239af4e81_small.jpg,Public,Very High,9.0,299,M,865
Palacký University Olomouc,2017,651-700,,https://www.topuniversities.com/universities/palacky-university-olomouc,Czech Republic,,Europe,https://www.topuniversities.com/sites/default/files/palack-university-in-olomouc_592560cf2aeae70239af5946_small.jpg,Public,Very High,10.0,2.177,L,1.807
Rutgers University–Newark,2017,651-700,,https://www.topuniversities.com/universities/rutgers-university-newark,United States,Newark,North America,https://www.topuniversities.com/sites/default/files/rutgers-the-state-university-of-new-jersey_592560cf2aeae70239af52b1_small.jpg,Public,High,14.0,1.246,M,764
"Sofia University ""St. Kliment Ohridski""",2017,651-700,,https://www.topuniversities.com/universities/sofia-university-st-kliment-ohridski,Bulgaria,Sofia,Europe,https://www.topuniversities.com/sites/default/files/sofia-university-st.-kliment-ohridski_592560cf2aeae70239af5654_small.jpg,Public,High,7.0,1.564,L,2.606
Stevens Institute of Technology,2017,651-700,,https://www.topuniversities.com/universities/stevens-institute-technology,United States,Hoboken,North America,https://www.topuniversities.com/sites/default/files/stevens-institute-of-technology_592560cf2aeae70239af4db6_small.jpg,Private,Very High,20.0,1.919,M,315
Temple University,2017,651-700,,https://www.topuniversities.com/universities/temple-university,United States,Philadelphia,North America,https://www.topuniversities.com/sites/default/files/temple-university_592560cf2aeae70239af4cdd_small.jpg,Public,Very High,12.0,2.097,XL,2.767
Universidad Adolfo Ibáñez,2017,651-700,,https://www.topuniversities.com/universities/universidad-adolfo-ibanez,Chile,Santiago,Latin America,https://www.topuniversities.com/sites/default/files/universidad-adolfo-ibez-_11_small.jpg,Private,Very High,21.0,479,M,510
Universidad Anáhuac México,2017,651-700,,https://www.topuniversities.com/universities/universidad-anahuac-mexico,Mexico,Huixquilucan,Latin America,https://www.topuniversities.com/sites/default/files/universidad-anahuac_592560cf2aeae70239af4a97_small.jpg,Private,Medium,8.0,507,L,1.816
Universidad Central de Venezuela,2017,651-700,,https://www.topuniversities.com/universities/universidad-central-de-venezuela,Venezuela,Caracas,Latin America,https://www.topuniversities.com/sites/default/files/universidad-central-de-venezuela_592560cf2aeae70239af54c0_small.jpg,Public,Medium,8.0,,XL,5.176
